Cap1,Cap2,Time,Distance
436,3008,1,4.12368519542423
436,3310,1,3.14621989988367
436,100,1,3.04939538579765
436,116,1,3.38596645913231
436,449,1,3.79811489797452
436,255,1,3.64570990062237
3008,3310,1,1.28061240631231
3008,100,1,1.08108787856723
3008,116,1,1.05215876442674
3008,449,1,0.787509473972853
3008,255,1,1.03357659884355
3310,100,1,0.78468073425311
3310,116,1,1.41567673732141
3310,449,1,1.53918743647419
3310,255,1,1.62814529274263
100,116,1,0.684496975421367
100,449,1,0.914649703047019
100,255,1,0.919231873426939
116,449,1,0.507253738262223
116,255,1,0.418467343171483
449,255,1,0.257209820185777
436,3008,2,4.12237271458441
436,3310,2,3.12603518764968
436,100,2,2.94809801141414
436,116,2,3.27747193694301
436,449,2,3.81427125420781
436,255,2,3.65935324427091
3008,3310,2,1.32706108389704
3008,100,2,1.17608498733467
3008,116,2,1.05079587667111
3008,449,2,0.764046300799893
3008,255,2,1.01394008799633
3310,100,2,0.761668464338652
3310,116,2,1.32077240909742
3310,449,2,1.58695029714859
3310,255,2,1.67032222283606
100,116,2,0.637489077416233
100,449,2,1.04235633421398
100,255,2,1.03398076045737
116,449,2,0.613330914809452
116,255,2,0.553442112764289
449,255,2,0.261034751709423
436,3008,3,4.09875913093829
436,3310,3,3.06908448088742
436,100,3,2.89171095888317
436,116,3,3.20971766986818
436,449,3,3.79566289498633
436,255,3,3.64175769540699
3008,3310,3,1.39901916548488
3008,100,3,1.21306336183441
3008,116,3,1.05633222155437
3008,449,3,0.762480467006205
3008,255,3,1.01394008799633
3310,100,3,0.813852705253844
3310,116,3,1.32947668137805
3310,449,3,1.65585718310487
3310,255,3,1.73362143195105
100,116,3,0.602631862623443
100,449,3,1.06830456808019
100,255,3,1.05131094023652
116,449,3,0.648188807104843
116,255,3,0.597995658158151
449,255,3,0.26320619293626
436,3008,4,4.04370965972459
436,3310,4,3.03238794305478
436,100,4,2.79655802342826
436,116,4,3.2477136388268
436,449,4,3.75751146700526
436,255,4,3.60741738122386
3008,3310,4,1.34417324593744
3008,100,4,1.24906756660358
3008,116,4,1.05721169907906
3008,449,4,0.755860998640623
3008,255,4,1.00556377438032
3310,100,4,0.758932253672882
3310,116,4,1.35180400177453
3310,449,4,1.61412495717649
3310,255,4,1.69466324721462
100,116,4,0.723400441757012
100,449,4,1.12761211297369
100,255,4,1.10980814509761
116,449,4,0.55491943366514
116,255,4,0.444822597001591
449,255,4,0.26320619293626
436,3008,5,3.93530919787124
436,3310,5,2.93573240471675
436,100,5,2.64021161662924
436,116,5,3.16180322600658
436,449,5,3.67192272765863
436,255,5,3.52777065558066
3008,3310,5,1.29576263975853
3008,100,5,1.35758486879974
3008,116,5,1.04026452701687
3008,449,5,0.752792352356212
3008,255,5,0.999251088989149
3310,100,5,0.963103732008136
3310,116,5,1.32190842939049
3310,449,5,1.57841663456769
3310,255,5,1.66143892224782
100,116,5,0.612798038667259
100,449,5,1.12422721007099
100,255,5,1.04944118811108
116,449,5,0.55491943366514
116,255,5,0.444822597001591
449,255,5,0.26320619293626
436,3008,6,3.33774481826053
436,3310,6,2.68018493931911
436,100,6,2.09855294265572
436,116,6,2.7146456600109
436,449,6,3.07042004096199
436,255,6,2.88307725173919
3008,3310,6,0.858115306697183
3008,100,6,1.28638222002794
3008,116,6,1.25325786522208
3008,449,6,0.784030822491055
3008,255,6,0.994890421413836
3310,100,6,0.90704123601962
3310,116,6,1.44101478507509
3310,449,6,1.24417258597833
3310,255,6,1.31205686716887
100,116,6,0.981393316580564
100,449,6,1.06604702992129
100,255,6,0.945763847199183
116,449,6,0.557116516560943
116,255,6,0.370200250134978
449,255,6,0.252130602714149
436,3008,7,2.8690866982587
436,3310,7,2.34748557146854
436,100,7,1.75433766702109
436,116,7,2.25181843491544
436,449,7,2.51393284441749
436,255,7,2.31348622997761
3008,3310,7,0.803274601595245
3008,100,7,1.12245539728935
3008,116,7,1.24153086908864
3008,449,7,0.784030822491055
