"","Cap1","Cap2","Time","Distance"
"5",376,218,1,2.55753343558271
"10",742,218,1,3.02830636453606
"14",436,218,1,3.69578221629931
"17",100,218,1,2.87038092097678
"19",116,218,1,1.94535910886285
"21",218,255,1,3.07335369487777
"26",376,218,2,2.56562903902445
"31",742,218,2,3.03660032512177
"35",436,218,2,3.70300991478206
"38",100,218,2,2.86250876658003
"40",116,218,2,1.9316338427302
"42",218,255,2,3.08031552945325
"47",376,218,3,2.61599041546132
"52",742,218,3,3.09166353904004
"56",436,218,3,3.748188961842
"59",100,218,3,2.91812660956435
"61",116,218,3,1.98235999680196
"63",218,255,3,3.12532878636646
"68",376,218,4,2.64796130267923
"73",742,218,4,3.1241261758581
"77",436,218,4,3.77627817238416
"80",100,218,4,2.95051429353807
"82",116,218,4,2.0136146137968
"84",218,255,4,3.15241704639149
"89",376,218,5,2.63482835326833
"94",742,218,5,3.09123904791538
"98",436,218,5,3.76490636207928
"101",100,218,5,2.95037835445671
"103",116,218,5,1.99981319389988
"105",218,255,5,3.14246933566258
"110",376,218,6,2.60939879316399
"115",742,218,6,3.07384745274596
"119",436,218,6,3.74073932494565
"122",100,218,6,2.93770578191707
"124",116,218,6,1.97945187281798
"126",218,255,6,3.123013624071
"131",376,218,7,2.55970267542262
"136",742,218,7,3.02119067482306
"140",436,218,7,3.6587395202166
"143",100,218,7,2.89801253556796
"145",116,218,7,1.92563403293632
"147",218,255,7,3.08382550169964
"152",376,218,8,2.55774174944898
"157",742,218,8,3.0169934394001
"161",436,218,8,3.60747965724011
"164",100,218,8,2.89274275029551
"166",116,218,8,1.92421760918854
"168",218,255,8,3.07137138233697
"173",376,218,9,2.58666973223466
"178",742,218,9,3.03523835882644
"182",436,218,9,3.58343611732795
"185",100,218,9,2.89442935563386
"187",116,218,9,1.96892725485957
"189",218,255,9,3.08361561370342
"194",376,218,10,2.66745469171142
"199",742,218,10,3.0976823909774
"203",436,218,10,3.64710273558758
"206",100,218,10,2.9632597878443
"208",116,218,10,2.06703867583285
"210",218,255,10,3.1470139759654
"215",376,218,11,2.83326371950781
"220",742,218,11,3.26587289076159
"224",436,218,11,3.79987921268696
"227",100,218,11,3.09261014791891
"229",116,218,11,2.22191967789875
"231",218,255,11,3.39311132363889
"236",376,218,12,2.83898266218402
"241",742,218,12,3.26536748500248
"245",436,218,12,3.75730658080365
"248",100,218,12,3.09261014791891
"250",116,218,12,2.22191357896174
"252",218,255,12,3.39311132363889
"257",376,218,13,2.81783104406109
"262",742,218,13,3.24476006960484
"266",436,218,13,3.61094778609232
"269",100,218,13,3.0707564279923
"271",116,218,13,2.20292197394664
"273",218,255,13,3.415959829254
"278",376,218,14,2.73665707187865
"283",742,218,14,3.16156158204533
"287",436,218,14,3.48372376625559
"290",100,218,14,2.98434598317906
"292",116,218,14,2.12953430129283
"294",218,255,14,3.3201404069542
"299",376,218,15,2.76103169510389
"304",742,218,15,3.13635195292891
"308",436,218,15,3.40090312431772
"311",100,218,15,2.95065508804689
"313",116,218,15,2.14125537253854
"315",218,255,15,3.21859586142249
"320",376,218,16,2.83535968514336
"325",742,218,16,3.21809179170095
"329",436,218,16,3.48224171316093
"332",100,218,16,2.99504463136528
"334",116,218,16,2.22425159999997
"336",218,255,16,3.27588523060104
"341",376,218,17,2.87765218824274
"346",742,218,17,3.26166236620423
"350",436,218,17,3.54937479830153
"353",100,218,17,3.03944423458599
"355",116,218,17,2.26444075952277
"357",218,255,17,3.31970073234772
"362",376,218,18,3.11403268483384
"367",742,218,18,3.47743109801949
"371",436,218,18,3.76654523445265
"374",100,218,18,3.25883346423195
"376",116,218,18,2.47724500694259
"378",218,255,18,3.50438576454848
"383",376,218,19,3.11403268483384
"388",742,218,19,3.47743109801949
"392",436,218,19,3.78699065450101
"395",100,218,19,3.23460117007306
"397",116,218,19,2.47724500694259
"399",218,255,19,3.50438576454848
"404",376,218,20,3.11403268483384
"409",742,218,20,3.47743109801949
"413",436,218,20,3.78990980205044
"416",100,218,20,3.23848487126897
"418",116,218,20,2.47724500694259
"420",218,255,20,3.49930025501814
"425",376,218,21,3.11403268483384
"430",742,218,21,3.47743109801949
"434",436,218,21,3.79254585327297
"437",100,218,21,3.23963268678565
"439",116,218,21,2.47724500694259
"441",218,255,21,3.49930025501814
"446",376,218,22,2.98353108267527
"451",742,218,22,3.35008940904762
"455",436,218,22,3.67641310226666
"458",100,218,22,3.11492832677575
"460",116,218,22,2.33550542445142
"462",218,255,22,3.3689567161289
"467",376,218,23,2.81108714519729
"472",742,218,23,3.25313234051076
"476",436,218,23,3.57400777801014
"479",100,218,23,2.94998161015861
"481",116,218,23,2.17289412709179
"483",218,255,23,3.2505150241957
"488",376,218,24,2.67295749885702
"493",742,218,24,2.9913314604587
"497",436,218,24,3.35178199061126
"500",100,218,24,2.70280010428333
"502",116,218,24,1.89970342057122
"504",218,255,24,3.00542372188049
"509",376,218,25,2.64628334338861
"514",742,218,25,3.016844797417
"518",436,218,25,3.29352894863337
"521",100,218,25,2.65338455205309
"523",116,218,25,1.8083870341965
"525",218,255,25,2.91596831226044
"530",376,218,26,2.63073887965435
"535",742,218,26,3.05616793995831
"539",436,218,26,3.31215137521581
"542",100,218,26,2.64230774010996
"544",116,218,26,1.79080088991071
"546",218,255,26,2.89338943532633
"551",376,218,27,2.64153754556716
"556",742,218,27,3.0662551261702
"560",436,218,27,3.33983091416317
"563",100,218,27,2.65819942522923
"565",116,218,27,1.82058626725267
"567",218,255,27,2.93561092127244
"572",376,218,28,2.65048756206118
"577",742,218,28,3.07784103857964
"581",436,218,28,3.35020838145928
"584",100,218,28,2.67451908744152
"586",116,218,28,1.82945454289222
"588",218,255,28,2.94856945888918
"593",376,218,29,2.68304159385761
"598",742,218,29,3.09984878563213
"602",436,218,29,3.38247616027371
"605",100,218,29,2.70368006407729
"607",116,218,29,1.89816070154057
"609",218,255,29,2.98999159540859
"614",376,218,30,2.68304159385761
"619",742,218,30,3.09984878563213
"623",436,218,30,3.38247616027371
"626",100,218,30,2.70477758856232
"628",116,218,30,1.91313936043875
"630",218,255,30,2.99296857913911
"635",376,218,31,2.71050660944592
"640",742,218,31,3.05578949951956
"644",436,218,31,3.40983154234047
"647",100,218,31,2.74529677198459
"649",116,218,31,1.94120094967523
"651",218,255,31,3.02611729907451
"656",376,218,32,2.81554243400823
"661",742,218,32,3.05796701485578
"665",436,218,32,3.45882078893082
"668",100,218,32,2.79475142722372
"670",116,218,32,2.06881414974424
"672",218,255,32,3.06408906801973
"677",376,218,33,2.84018191771672
"682",742,218,33,3.06406843143181
"686",436,218,33,3.45882078893082
