"","Infectious_time","Population_size","Density","avg_cases"
"1","1","30","0.01",2.1
"2","1","30","0.1",13.84
"3","1","30","0.2",18.77
"4","1","30","0.5",23.57
"5","1","30","0.75",25.01
"6","1","30","1",26.09
"7","1","30","1.5",27.16
"8","1","30","2",27.24
"9","1","50","0.01",2.15
"10","1","50","0.1",16.22
"11","1","50","0.2",25.7
"12","1","50","0.5",35.35
"13","1","50","0.75",38.76
"14","1","50","1",40.73
"15","1","50","1.5",42.77
"16","1","50","2",44.5
"17","1","75","0.01",2.56
"18","1","75","0.1",18.15
"19","1","75","0.2",30.14
"20","1","75","0.5",46.76
"21","1","75","0.75",52.45
"22","1","75","1",56.76
"23","1","75","1.5",61.3
"24","1","75","2",63.31
"25","1","100","0.01",2.48
"26","1","100","0.1",19.34
"27","1","100","0.2",32.89
"28","1","100","0.5",54.51
"29","1","100","0.75",64.87
"30","1","100","1",70.73
"31","1","100","1.5",77.86
"32","1","100","2",82.42
"33","1","200","0.01",2.27
"34","1","200","0.1",22.35
"35","1","200","0.2",39.29
"36","1","200","0.5",78.12
"37","1","200","0.75",97.75
"38","1","200","1",109.49
"39","1","200","1.5",130.62
"40","1","200","2",142.47
"41","1","300","0.01",2.35
"42","1","300","0.1",21.76
"43","1","300","0.2",40.85
"44","1","300","0.5",87.39
"45","1","300","0.75",117.06
"46","1","300","1",135.83
"47","1","300","1.5",166.62
"48","1","300","2",186.15
"49","1","500","0.01",2.09
"50","1","500","0.1",20.81
"51","1","500","0.2",43.22
"52","1","500","0.5",97.14
"53","1","500","0.75",134.66
"54","1","500","1",164.62
"55","1","500","1.5",213.92
"56","1","500","2",250.86
"57","1","1000","0.01",2.11
"58","1","1000","0.1",22.65
"59","1","1000","0.2",43.71
"60","1","1000","0.5",105.44
"61","1","1000","0.75",150
"62","1","1000","1",193.98
"63","1","1000","1.5",271.34
"64","1","1000","2",331.44
"65","2","30","0.01",4.26
"66","2","30","0.1",20.39
"67","2","30","0.2",25.49
"68","2","30","0.5",28.27
"69","2","30","0.75",29.11
"70","2","30","1",29.34
"71","2","30","1.5",29.55
"72","2","30","2",29.69
"73","2","50","0.01",4.04
"74","2","50","0.1",26.96
"75","2","50","0.2",37.08
"76","2","50","0.5",45.41
"77","2","50","0.75",47.06
"78","2","50","1",47.91
"79","2","50","1.5",48.88
"80","2","50","2",49.08
"81","2","75","0.01",4.31
"82","2","75","0.1",31.83
"83","2","75","0.2",47.04
"84","2","75","0.5",62.6
"85","2","75","0.75",68.16
"86","2","75","1",70.08
"87","2","75","1.5",71.95
"88","2","75","2",72.82
"89","2","100","0.01",4.6
"90","2","100","0.1",35.13
"91","2","100","0.2",55.92
"92","2","100","0.5",79.12
"93","2","100","0.75",86.51
"94","2","100","1",90.73
"95","2","100","1.5",94.3
"96","2","100","2",95.93
"97","2","200","0.01",4.47
"98","2","200","0.1",38.87
"99","2","200","0.2",68.4
"100","2","200","0.5",123.29
"101","2","200","0.75",145.24
"102","2","200","1",158.6
"103","2","200","1.5",173.64
"104","2","200","2",180.65
"105","2","300","0.01",4.3
"106","2","300","0.1",40.23
"107","2","300","0.2",74.61
"108","2","300","0.5",146.58
"109","2","300","0.75",185.4
"110","2","300","1",207.6
"111","2","300","1.5",236.85
"112","2","300","2",255.17
"113","2","500","0.01",4.35
"114","2","500","0.1",42.52
"115","2","500","0.2",80.57
"116","2","500","0.5",174.22
"117","2","500","0.75",230.94
"118","2","500","1",275.68
"119","2","500","1.5",331.7
"120","2","500","2",370.57
"121","2","1000","0.01",4.34
"122","2","1000","0.1",42.76
"123","2","1000","0.2",84.39
"124","2","1000","0.5",194.81
"125","2","1000","0.75",275.99
"126","2","1000","1",347.05
"127","2","1000","1.5",457.7
"128","2","1000","2",548.69
"129","3","30","0.01",5.93
"130","3","30","0.1",24.83
"131","3","30","0.2",28.18
"132","3","30","0.5",29.61
"133","3","30","0.75",29.69
"134","3","30","1",29.84
"135","3","30","1.5",29.92
"136","3","30","2",29.93
"137","3","50","0.01",5.9
"138","3","50","0.1",34.01
"139","3","50","0.2",43.2
"140","3","50","0.5",48.09
"141","3","50","0.75",49.08
"142","3","50","1",49.48
"143","3","50","1.5",49.8
"144","3","50","2",49.8
"145","3","75","0.01",6.23
"146","3","75","0.1",41.69
"147","3","75","0.2",57.61
"148","3","75","0.5",69.95
"149","3","75","0.75",72.33
"150","3","75","1",73.53
"151","3","75","1.5",74.08
"152","3","75","2",74.49
"153","3","100","0.01",5.77
"154","3","100","0.1",46.05
"155","3","100","0.2",68.62
"156","3","100","0.5",89.96
"157","3","100","0.75",94.26
"158","3","100","1",96.57
"159","3","100","1.5",98.32
"160","3","100","2",98.85
"161","3","200","0.01",6.39
"162","3","200","0.1",55.28
"163","3","200","0.2",93.74
"164","3","200","0.5",149.86
"165","3","200","0.75",169.76
"166","3","200","1",180.07
"167","3","200","1.5",189.14
"168","3","200","2",193.13
"169","3","300","0.01",6.27
"170","3","300","0.1",57.74
"171","3","300","0.2",104.33
"172","3","300","0.5",189.61
"173","3","300","0.75",225.3
"174","3","300","1",247.13
"175","3","300","1.5",268.42
"176","3","300","2",280.37
"177","3","500","0.01",6.15
"178","3","500","0.1",59.47
"179","3","500","0.2",113
"180","3","500","0.5",232.3
"181","3","500","0.75",296.05
"182","3","500","1",342.83
"183","3","500","1.5",400.47
"184","3","500","2",429.97
"185","3","1000","0.01",6.32
"186","3","1000","0.1",61.83
"187","3","1000","0.2",120.55
"188","3","1000","0.5",274.64
"189","3","1000","0.75",376.8
"190","3","1000","1",464.24
"191","3","1000","1.5",594.78
"192","3","1000","2",687.02
"193","4","30","0.01",7.56
"194","4","30","0.1",26.86
"195","4","30","0.2",29.07
"196","4","30","0.5",29.86
"197","4","30","0.75",29.93
"198","4","30","1",29.92
"199","4","30","1.5",30
"200","4","30","2",29.99
"201","4","50","0.01",8.21
"202","4","50","0.1",38.95
"203","4","50","0.2",45.89
"204","4","50","0.5",49.32
"205","4","50","0.75",49.74
"206","4","50","1",49.88
"207","4","50","1.5",49.95
"208","4","50","2",49.94
"209","4","75","0.01",8.22
"210","4","75","0.1",49.6
"211","4","75","0.2",63.88
"212","4","75","0.5",72.85
"213","4","75","0.75",73.82
"214","4","75","1",74.47
"215","4","75","1.5",74.75
"216","4","75","2",74.85
"217","4","100","0.01",7.55
"218","4","100","0.1",55.88
"219","4","100","0.2",77.87
"220","4","100","0.5",94.97
"221","4","100","0.75",97.64
"222","4","100","1",98.74
"223","4","100","1.5",99.38
"224","4","100","2",99.68
"225","4","200","0.01",7.59
"226","4","200","0.1",68.73
"227","4","200","0.2",112.71
"228","4","200","0.5",166.32
"229","4","200","0.75",182.34
"230","4","200","1",189.4
"231","4","200","1.5",195.31
"232","4","200","2",197.48
"233","4","300","0.01",7.78
"234","4","300","0.1",73.22
"235","4","300","0.2",128.47
"236","4","300","0.5",218.33
"237","4","300","0.75",251.06
"238","4","300","1",268.97
"239","4","300","1.5",284.94
"240","4","300","2",290.41
"241","4","500","0.01",7.71
"242","4","500","0.1",75.68
"243","4","500","0.2",142.52
"244","4","500","0.5",278.82
"245","4","500","0.75",347.3
"246","4","500","1",390.38
"247","4","500","1.5",437.55
"248","4","500","2",461.62
"249","4","1000","0.01",8.04
"250","4","1000","0.1",79.71
"251","4","1000","0.2",152.24
"252","4","1000","0.5",342.32
"253","4","1000","0.75",461.7
"254","4","1000","1",557.85
"255","4","1000","1.5",693.35
"256","4","1000","2",778.63
"257","5","30","0.01",8.48
"258","5","30","0.1",28.08
"259","5","30","0.2",29.55
"260","5","30","0.5",29.96
"261","5","30","0.75",29.99
"262","5","30","1",29.96
"263","5","30","1.5",29.97
"264","5","30","2",30
"265","5","50","0.01",9.12
"266","5","50","0.1",42.08
"267","5","50","0.2",47.54
"268","5","50","0.5",49.59
"269","5","50","0.75",49.91
"270","5","50","1",49.93
"271","5","50","1.5",49.97
"272","5","50","2",49.98
"273","5","75","0.01",9.62
"274","5","75","0.1",54.89
"275","5","75","0.2",67.8
"276","5","75","0.5",74.01
"277","5","75","0.75",74.54
"278","5","75","1",74.76
"279","5","75","1.5",74.91
"280","5","75","2",74.95
"281","5","100","0.01",9.66
"282","5","100","0.1",63.48
"283","5","100","0.2",83.95
"284","5","100","0.5",97.15
"285","5","100","0.75",98.83
"286","5","100","1",99.55
"287","5","100","1.5",99.77
"288","5","100","2",99.8
"289","5","200","0.01",9.9
"290","5","200","0.1",80.02
"291","5","200","0.2",127.16
"292","5","200","0.5",177.77
"293","5","200","0.75",190.39
"294","5","200","1",194.4
"295","5","200","1.5",197.68
"296","5","200","2",198.82
"297","5","300","0.01",9.77
"298","5","300","0.1",86.86
"299","5","300","0.2",148.15
"300","5","300","0.5",239.63
"301","5","300","0.75",267.47
"302","5","300","1",280.96
"303","5","300","1.5",291.84
"304","5","300","2",295.83
"305","5","500","0.01",9.88
"306","5","500","0.1",91.37
"307","5","500","0.2",166.8
"308","5","500","0.5",317.7
"309","5","500","0.75",382.78
"310","5","500","1",420.13
"311","5","500","1.5",460.2
"312","5","500","2",476.87
"313","5","1000","0.01",9.88
"314","5","1000","0.1",95.61
"315","5","1000","0.2",181.97
"316","5","1000","0.5",399.14
"317","5","1000","0.75",535.12
"318","5","1000","1",632.1
"319","5","1000","1.5",765.03
"320","5","1000","2",841.4
"321","7","30","0.01",11.1
"322","7","30","0.1",29.23
"323","7","30","0.2",29.87
"324","7","30","0.5",29.99
"325","7","30","0.75",30
"326","7","30","1",30
"327","7","30","1.5",30
"328","7","30","2",30
"329","7","50","0.01",11.93
"330","7","50","0.1",45.75
"331","7","50","0.2",49.17
"332","7","50","0.5",49.95
"333","7","50","0.75",49.99
"334","7","50","1",49.98
"335","7","50","1.5",50
"336","7","50","2",50
"337","7","75","0.01",12.9
"338","7","75","0.1",62.21
"339","7","75","0.2",71.73
"340","7","75","0.5",74.63
"341","7","75","0.75",74.88
"342","7","75","1",74.98
"343","7","75","1.5",74.98
"344","7","75","2",74.99
"345","7","100","0.01",12.45
"346","7","100","0.1",74.42
"347","7","100","0.2",92.02
"348","7","100","0.5",99.09
"349","7","100","0.75",99.77
"350","7","100","1",99.81
"351","7","100","1.5",99.97
"352","7","100","2",99.98
"353","7","200","0.01",12.74
"354","7","200","0.1",100.19
"355","7","200","0.2",149.41
"356","7","200","0.5",189.5
"357","7","200","0.75",196.26
"358","7","200","1",198.27
"359","7","200","1.5",199.39
"360","7","200","2",199.7
"361","7","300","0.01",12.57
"362","7","300","0.1",109.21
"363","7","300","0.2",179.04
"364","7","300","0.5",264.91
"365","7","300","0.75",284.37
"366","7","300","1",291.99
"367","7","300","1.5",297.34
"368","7","300","2",298.82
"369","7","500","0.01",12.44
"370","7","500","0.1",116.93
"371","7","500","0.2",208.94
"372","7","500","0.5",371.84
"373","7","500","0.75",430.09
"374","7","500","1",458.51
"375","7","500","1.5",483.27
"376","7","500","2",491.19
"377","7","1000","0.01",12.48
"378","7","1000","0.1",123.97
"379","7","1000","0.2",237.47
"380","7","1000","0.5",496.59
"381","7","1000","0.75",643.54
"382","7","1000","1",741.01
"383","7","1000","1.5",860.44
"384","7","1000","2",916.05
"385","10","30","0.01",13.71
"386","10","30","0.1",29.78
"387","10","30","0.2",29.99
"388","10","30","0.5",30
"389","10","30","0.75",30
"390","10","30","1",30
"391","10","30","1.5",30
"392","10","30","2",30
"393","10","50","0.01",14.98
"394","10","50","0.1",48.09
"395","10","50","0.2",49.73
"396","10","50","0.5",49.98
"397","10","50","0.75",50
"398","10","50","1",50
"399","10","50","1.5",50
"400","10","50","2",50
"401","10","75","0.01",16.39
"402","10","75","0.1",68.37
