Density,Population Size,Infectious Time,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,Iteration 31,Iteration 32,Iteration 33,Iteration 34,Iteration 35,Iteration 36,Iteration 37,Iteration 38,Iteration 39,Iteration 40,Iteration 41,Iteration 42,Iteration 43,Iteration 44,Iteration 45,Iteration 46,Iteration 47,Iteration 48,Iteration 49,Iteration 50,Iteration 51,Iteration 52,Iteration 53,Iteration 54,Iteration 55,Iteration 56,Iteration 57,Iteration 58,Iteration 59,Iteration 60,Iteration 61,Iteration 62,Iteration 63,Iteration 64,Iteration 65,Iteration 66,Iteration 67,Iteration 68,Iteration 69,Iteration 70,Iteration 71,Iteration 72,Iteration 73,Iteration 74,Iteration 75,Iteration 76,Iteration 77,Iteration 78,Iteration 79,Iteration 80,Iteration 81,Iteration 82,Iteration 83,Iteration 84,Iteration 85,Iteration 86,Iteration 87,Iteration 88,Iteration 89,Iteration 90,Iteration 91,Iteration 92,Iteration 93,Iteration 94,Iteration 95,Iteration 96,Iteration 97,Iteration 98,Iteration 99
0.01,30,1,23,27,24,28,27,24,25,24,28,26,27,26,25,26,22,25,22,27,25,26,26,25,26,24,26,24,25,26,26,26,27,29,25,29,25,26,25,23,26,25,21,29,27,23,25,27,24,26,26,24,25,27,28,26,27,27,27,25,25,21,25,27,28,24,29,27,28,26,24,28,26,25,25,28,23,26,24,25,24,23,21,29,22,26,27,25,26,23,21,27,25,25,26,26,27,21,27,23,24,23
0.01,30,2,30,30,30,30,30,27,29,28,29,29,30,30,28,29,28,30,30,28,29,30,30,28,29,28,29,30,30,30,29,30,30,30,30,30,30,29,30,29,28,30,30,29,29,30,30,29,30,30,29,30,29,30,29,30,30,30,28,30,30,29,30,30,30,29,28,29,29,30,30,30,30,30,30,29,29,30,28,29,28,29,29,28,28,28,29,30,29,28,29,28,30,30,29,29,30,29,30,29,29,29
0.01,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,30,7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,50,1,42,44,43,44,45,42,44,46,44,36,40,41,46,42,42,47,45,43,44,40,48,40,38,40,44,42,42,44,39,40,47,43,40,45,43,44,39,41,46,42,46,43,43,39,43,46,42,41,45,43,40,47,44,44,46,45,42,44,40,48,38,42,42,41,43,43,47,43,43,44,46,42,43,46,41,39,45,46,43,44,42,43,40,41,46,41,43,41,45,42,40,44,42,42,42,44,40,43,44,42
0.01,50,2,48,50,49,48,50,48,50,49,47,50,49,48,50,48,50,46,49,48,49,50,49,49,47,48,49,49,49,49,49,49,50,49,49,50,49,47,46,50,49,49,48,46,50,49,49,49,49,46,50,50,48,49,49,49,50,50,49,48,49,48,50,49,47,48,48,49,49,50,50,49,48,49,48,48,48,50,49,46,47,49,50,47,49,48,50,48,50,49,46,49,49,50,48,49,50,49,47,49,49,48
0.01,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.01,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.01,50,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.01,100,1,85,82,89,85,89,87,86,85,84,79,80,90,88,85,89,83,89,86,80,80,84,82,89,81,84,84,86,84,81,83,83,80,86,83,84,84,86,85,86,84,72,83,86,80,89,97,83,89,77,90,86,90,89,89,87,87,81,87,85,88,86,83,82,86,87,86,86,84,79,83,86,79,85,87,90,81,85,82,91,82,88,83,90,86,83,80,79,84,92,88,81,82,89,83,86,86,84,90,88,85
