Density,Population Size,Infectious Time,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,Iteration 31,Iteration 32,Iteration 33,Iteration 34,Iteration 35,Iteration 36,Iteration 37,Iteration 38,Iteration 39,Iteration 40,Iteration 41,Iteration 42,Iteration 43,Iteration 44,Iteration 45,Iteration 46,Iteration 47,Iteration 48,Iteration 49,Iteration 50,Iteration 51,Iteration 52,Iteration 53,Iteration 54,Iteration 55,Iteration 56,Iteration 57,Iteration 58,Iteration 59,Iteration 60,Iteration 61,Iteration 62,Iteration 63,Iteration 64,Iteration 65,Iteration 66,Iteration 67,Iteration 68,Iteration 69,Iteration 70,Iteration 71,Iteration 72,Iteration 73,Iteration 74,Iteration 75,Iteration 76,Iteration 77,Iteration 78,Iteration 79,Iteration 80,Iteration 81,Iteration 82,Iteration 83,Iteration 84,Iteration 85,Iteration 86,Iteration 87,Iteration 88,Iteration 89,Iteration 90,Iteration 91,Iteration 92,Iteration 93,Iteration 94,Iteration 95,Iteration 96,Iteration 97,Iteration 98,Iteration 99
0.01,30,1,29,25,24,19,25,25,27,29,22,24,27,26,24,29,24,24,27,27,28,23,28,24,27,24,26,29,28,26,29,25,25,29,22,26,28,28,26,28,24,26,27,24,27,25,23,24,23,27,26,27,23,23,21,26,28,27,26,23,24,26,29,29,24,25,26,24,28,19,26,27,26,23,26,27,23,25,24,22,26,24,21,25,26,27,26,22,29,27,24,23,27,27,27,24,23,28,27,27,24,26
0.01,30,2,29,30,30,30,30,28,29,30,30,29,30,28,30,28,29,30,29,28,29,30,29,29,30,29,28,26,30,30,29,29,30,30,30,30,30,29,30,30,29,30,30,30,28,29,30,28,28,30,28,29,27,30,28,30,30,30,30,28,30,30,30,28,30,29,30,30,30,30,30,29,30,29,30,30,30,30,30,29,30,29,30,30,29,28,27,30,30,30,27,30,30,30,30,30,30,30,30,30,29,29
0.01,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,30,7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.01,50,1,44,43,41,35,39,45,48,43,40,42,45,46,42,41,43,45,44,43,40,39,41,46,46,45,43,46,44,40,42,46,42,46,39,43,43,44,41,43,44,43,40,44,46,43,45,39,37,44,45,43,43,44,41,38,40,41,41,40,44,39,42,42,44,40,42,43,41,46,43,41,40,43,42,41,39,44,42,42,45,38,43,41,45,45,41,45,43,40,45,43,39,41,41,40,44,42,46,45,42,41
0.01,50,2,47,49,49,50,50,49,50,49,49,49,49,49,49,48,47,48,47,50,49,48,48,48,48,49,49,50,49,50,49,44,46,47,49,49,50,50,49,48,48,47,50,49,48,49,50,47,50,50,48,49,50,50,49,49,50,48,48,49,50,49,49,48,49,48,48,49,50,50,50,50,49,47,49,49,50,48,46,48,48,49,49,49,49,50,49,48,50,49,49,48,49,49,49,49,50,49,49,47,50,49
0.01,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,50,50,50
0.01,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.01,50,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
