Density;Population_size;Infectious_time;iter_1;iter_2;iter_3;iter_4;iter_5;iter_6;iter_7;iter_8;iter_9;iter_10;iter_11;iter_12;iter_13;iter_14;iter_15;iter_16;iter_17;iter_18;iter_19;iter_20;iter_21;iter_22;iter_23;iter_24;iter_25;iter_26;iter_27;iter_28;iter_29;iter_30;iter_31;iter_32;iter_33;iter_34;iter_35;iter_36;iter_37;iter_38;iter_39;iter_40;iter_41;iter_42;iter_43;iter_44;iter_45;iter_46;iter_47;iter_48;iter_49;iter_50;iter_51;iter_52;iter_53;iter_54;iter_55;iter_56;iter_57;iter_58;iter_59;iter_60;iter_61;iter_62;iter_63;iter_64;iter_65;iter_66;iter_67;iter_68;iter_69;iter_70;iter_71;iter_72;iter_73;iter_74;iter_75;iter_76;iter_77;iter_78;iter_79;iter_80;iter_81;iter_82;iter_83;iter_84;iter_85;iter_86;iter_87;iter_88;iter_89;iter_90;iter_91;iter_92;iter_93;iter_94;iter_95;iter_96;iter_97;iter_98;iter_99;iter_100
0.01;30;1;2;2;2;5;4;1;2;3;4;0;4;2;3;0;2;4;2;2;3;0;1;1;1;2;3;4;2;3;3;1;2;4;1;1;2;3;1;2;3;3;5;2;0;2;1;5;3;6;3;4;3;0;1;2;5;2;4;5;1;2;3;3;1;3;2;0;6;3;4;4;6;2;4;1;6;0;0;2;1;2;0;5;4;5;8;1;1;2;1;3;1;3;1;1;1;3;2;3;1;4
0.01;30;2;5;4;4;6;9;5;2;3;3;4;6;8;1;3;6;5;6;4;2;7;1;5;5;5;3;2;5;4;4;2;5;7;2;4;9;3;4;4;6;5;9;3;3;3;3;2;2;7;5;6;1;2;2;7;5;4;9;3;2;2;9;4;0;9;1;6;6;6;7;10;5;5;4;3;2;5;1;3;5;5;6;5;3;6;7;4;3;6;3;5;6;1;7;5;7;4;3;5;4;4
0.01;30;5;11;8;7;10;15;6;4;8;11;7;10;11;8;6;6;6;17;7;5;8;8;8;9;9;6;4;9;9;3;6;12;13;6;6;12;4;8;4;4;10;17;14;10;4;13;6;6;11;4;10;6;8;6;12;11;12;13;10;3;7;10;10;8;9;6;12;8;14;8;10;14;7;8;7;8;7;8;7;9;7;8;7;12;8;15;1;8;7;10;12;10;9;10;10;10;6;3;12;6;13
0.01;30;7;8;9;13;11;19;11;7;8;13;13;15;11;10;7;7;10;11;11;8;17;6;11;9;7;8;11;13;7;14;6;17;12;4;9;17;13;1;4;4;19;17;12;9;13;13;8;10;18;8;11;4;8;9;15;13;15;13;15;7;9;10;12;8;14;11;11;9;12;9;15;10;8;16;10;17;12;9;11;12;12;5;13;8;10;22;4;13;8;10;16;8;11;6;16;14;6;14;10;9;10
0.01;30;10;18;14;14;18;17;10;12;12;16;12;17;18;6;11;13;15;20;16;13;15;10;12;12;12;15;14;13;14;11;10;12;17;12;8;19;14;9;8;12;18;23;11;14;13;9;14;9;19;13;16;11;12;9;15;13;25;13;17;5;14;15;12;10;18;14;8;13;17;16;15;15;17;10;18;17;13;13;16;10;10;16;14;16;16;21;4;15;11;12;16;15;11;20;12;16;11;17;13;11;16
0.01;50;1;2;0;1;1;5;1;2;3;2;5;4;4;3;1;1;2;3;3;5;2;4;3;4;3;1;4;3;3;1;0;3;1;3;1;5;1;0;2;3;3;5;1;6;1;2;3;1;6;1;4;1;1;2;1;1;5;3;2;1;1;1;2;0;6;1;4;2;1;4;2;2;1;1;1;3;4;0;2;2;1;5;2;0;4;3;0;1;3;2;1;2;1;3;5;3;1;1;2;2;1
0.01;50;2;4;3;3;5;8;2;2;4;5;7;4;7;4;4;5;6;6;5;1;4;2;9;3;2;4;4;1;3;2;2;2;8;1;7;4;3;3;3;4;8;6;4;4;4;4;3;3;2;5;5;2;3;3;4;3;6;5;2;1;1;1;4;5;3;3;7;7;6;2;7;2;1;3;3;5;0;4;3;3;4;2;1;10;4;8;1;4;5;6;5;2;3;6;6;3;4;5;4;5;6
0.01;50;5;11;3;9;13;14;9;8;7;8;10;10;11;5;10;5;11;8;8;8;11;11;7;9;11;6;8;6;9;8;6;10;12;8;8;9;8;5;5;6;19;13;7;15;8;8;9;5;14;4;7;5;8;3;11;8;8;14;10;6;5;9;9;9;18;4;8;6;15;5;13;9;8;8;8;8;9;6;15;11;7;7;5;13;12;18;4;11;10;9;12;11;5;9;12;12;5;9;6;10;9
0.01;50;7;12;6;9;9;22;8;8;13;16;10;14;13;4;11;9;10;14;16;12;18;8;13;10;12;9;13;11;12;12;8;14;20;5;8;15;11;5;8;17;14;18;11;18;8;8;12;11;17;11;10;9;10;9;17;9;14;15;18;8;8;13;13;7;19;7;9;11;19;13;18;16;9;16;13;17;7;6;14;13;10;13;9;14;16;24;8;16;11;13;13;13;4;14;16;14;10;11;7;9;13
0.01;50;10;19;9;15;16;20;13;12;17;17;14;16;17;7;15;14;16;20;17;10;13;13;16;11;21;13;16;20;13;15;8;19;18;10;15;15;19;21;15;12;28;20;21;21;21;16;12;19;19;15;13;4;7;14;18;17;25;24;19;13;14;17;16;11;23;7;14;11;13;13;16;19;17;17;12;14;15;12;16;18;14;10;8;20;16;26;9;21;18;17;20;13;6;20;24;19;12;19;16;12;13
