"","Cap1","Cap2","Time","Distance"
"1",436,3008,1,4.12368519542423
"2",436,3310,1,3.14621989988367
"3",436,100,1,3.04939538579765
"4",436,116,1,3.38596645913231
"5",436,449,1,3.79811489797452
"6",436,255,1,3.64570990062237
"22",436,3008,2,4.12237271458441
"23",436,3310,2,3.12603518764968
"24",436,100,2,2.94809801141414
"25",436,116,2,3.27747193694301
"26",436,449,2,3.81427125420781
"27",436,255,2,3.65935324427091
"43",436,3008,3,4.09875913093829
"44",436,3310,3,3.06908448088742
"45",436,100,3,2.89171095888317
"46",436,116,3,3.20971766986818
"47",436,449,3,3.79566289498633
"48",436,255,3,3.64175769540699
"64",436,3008,4,4.04370965972459
"65",436,3310,4,3.03238794305478
"66",436,100,4,2.79655802342826
"67",436,116,4,3.2477136388268
"68",436,449,4,3.75751146700526
"69",436,255,4,3.60741738122386
"85",436,3008,5,3.93530919787124
"86",436,3310,5,2.93573240471675
"87",436,100,5,2.64021161662924
"88",436,116,5,3.16180322600658
"89",436,449,5,3.67192272765863
"90",436,255,5,3.52777065558066
"106",436,3008,6,3.33774481826053
"107",436,3310,6,2.68018493931911
"108",436,100,6,2.09855294265572
"109",436,116,6,2.7146456600109
"110",436,449,6,3.07042004096199
"111",436,255,6,2.88307725173919
"127",436,3008,7,2.8690866982587
"128",436,3310,7,2.34748557146854
"129",436,100,7,1.75433766702109
"130",436,116,7,2.25181843491544
"131",436,449,7,2.51393284441749
"132",436,255,7,2.31348622997761
"148",436,3008,8,2.5702055739773
"149",436,3310,8,2.09799663393724
"150",436,100,8,1.49902354420102
"151",436,116,8,2.03411965639315
"152",436,449,8,2.27658917679958
"153",436,255,8,2.15183856718017
"169",436,3008,9,2.37776090358219
"170",436,3310,9,1.98187202635211
"171",436,100,9,1.34145561879065
"172",436,116,9,1.78516383194005
"173",436,449,9,1.78193335105329
"174",436,255,9,2.07700445139244
"190",436,3008,10,2.27056819210523
"191",436,3310,10,1.86495923222386
"192",436,100,10,1.1683486971414
"193",436,116,10,1.58952976147822
"194",436,449,10,1.61226905390633
"195",436,255,10,1.94012106696979
"211",436,3008,11,1.91959910489795
"212",436,3310,11,1.46287266233155
"213",436,100,11,0.753367403041172
"214",436,116,11,1.20681301413102
"215",436,449,11,1.29772562333646
"216",436,255,11,1.3888456960838
"232",436,3008,12,1.8076111458176
"233",436,3310,12,0.993994238392759
"234",436,100,12,0.580688942141143
"235",436,116,12,1.18950160846003
"236",436,449,12,1.312887150011
"237",436,255,12,0.904622919798631
"253",436,3008,13,2.25531695925983
"254",436,3310,13,1.01669994913199
"255",436,100,13,0.674466310651615
"256",436,116,13,1.52064636007982
"257",436,449,13,1.76704441114648
"258",436,255,13,1.315112243672
"274",436,3008,14,2.42743887555382
"275",436,3310,14,0.643458835022878
"276",436,100,14,0.580623232497632
"277",436,116,14,1.86017676438155
"278",436,449,14,2.17948964031605
"279",436,255,14,1.5369589979492
"295",436,3008,15,2.52079472795902
"296",436,3310,15,0.702370490482053
"297",436,100,15,0.366043481575618
"298",436,116,15,1.62312765009071
"299",436,449,15,2.25537154940223
"300",436,255,15,1.56305257359597
"316",436,3008,16,2.57305369172623
"317",436,3310,16,0.489227933993962
"318",436,100,16,0.361224886585905
"319",436,116,16,1.66810136637106
"320",436,449,16,2.10360149537644
"321",436,255,16,1.60900582122782
"337",436,3008,17,3.12786975531607
"338",436,3310,17,0.662249152935661
"339",436,100,17,0.542829178780949
"340",436,116,17,2.2519073637288
"341",436,449,17,2.03669516496235
"342",436,255,17,1.80546315035782
