experiment,duration,Cap1,Cap2,t_1m,t_1.5m,t_2m,infected
1,1,436,100,13.38,22,36.87,0
1,1,436,116,25.48,41,48.7,0
1,1,436,255,27.1,49,54.3,0
1,1,436,449,37.75,51,53.68,0
1,1,436,3008,1.22,2,10.92,0
1,1,436,3310,22.8,37,48.18,0
1,6,436,100,14.27,87,158.18,0
1,6,436,116,67.13,116,173.52,0
1,6,436,255,26.73,106,217.65,0
1,6,436,449,45.55,99,160.07,0
1,6,436,3008,18.05,40,123.78,0
1,6,436,3310,33.93,86,150.2,0
1,24,436,100,56.62,137,251.05,0
1,24,436,116,10.1,19,42.97,0
1,24,436,255,101.17,215,488.15,0
1,24,436,449,133.98,260,433.88,0
1,24,436,3008,233.25,477,709.88,0
1,24,436,3310,128.42,313,528.13,0
2,24,218,100,49.42,81,107.97,0
2,24,218,116,21.8,67,125,0
2,24,218,255,5.08,8,28.98,0
2,24,218,376,4.55,14,46.75,0
2,24,218,436,94.07,142,162.47,0
2,24,218,742,13.35,34,89.33,1
2,44,218,100,71.08,239,582.12,0
2,44,218,116,147.25,366,563.83,0
2,44,218,255,78.18,302,504.53,1
2,44,218,376,119.93,265,430.12,1
2,44,218,436,109.53,385,738.63,1
2,44,218,742,213.4,375,530.13,1
3,24,3837,100,15.5,58,175.33,0
3,24,3837,116,9.97,37,157.67,1
3,24,3837,218,42.15,117,172.22,1
3,24,3837,255,102.33,194,289.4,1
3,24,3837,436,44.52,111,222.37,0
4,24,3837,255,50.65,113,200.88,0
4,24,3837,376,7.92,9,56.6,0
4,24,3837,436,1.95,4,37.45,0
4,24,3837,742,3.53,14,57.57,0
4,24,3837,2372,4.68,6,32.43,0
4,24,3837,3008,2.02,14,101.33,0
4,48,3837,255,64.47,109,225.95,1
4,48,3837,376,16.8,63,238.67,1
4,48,3837,436,536.83,813,931.75,1
4,48,3837,742,83.8,123,214.43,1
4,48,3837,3008,121.22,216,371.62,0
5,24,3837,255,51.6,173,412.07,1
5,24,3837,376,74,210,477.55,0
5,24,3837,436,38.42,183,545.53,0
5,24,3837,742,211.07,384,673.77,0
5,24,3837,2372,22.27,173,343.7,0
5,24,3837,3008,59.05,143,315.38,0
5,48,3837,218,78.33,203,549.43,1
5,48,3837,376,623.98,912,1200.4,1
5,48,3837,436,8.78,8,162.33,1
5,48,3837,742,16.05,49,235.22,0
5,48,3837,2372,24.25,91,221.82,0
5,48,3837,3008,27.25,126,360.83,1
