experiment,duration,seeder,Cap2,time_between_0.05_and_0.5m,time_between_0.5_and_1m,time_between_1_and_2m,time_above_2m,infected
1,1,436,100,2.783333333,10.6,23.48333333,25.85,0
1,1,436,116,4.5,20.98333333,23.21666667,13.91666667,0
1,1,436,255,6.2,20.9,27.2,8.416666667,0
1,1,436,449,17.01666667,20.73333333,15.93333333,9.05,0
1,1,436,3008,0.183333333,1.033333333,9.7,51.81666667,0
1,1,436,3310,4.116666667,18.68333333,25.38333333,14.3,0
1,6,436,100,0.566666667,13.7,143.9166667,211.9833333,0
1,6,436,116,15.53333333,51.6,106.3833333,196.6833333,0
1,6,436,255,0.733333333,26,190.9166667,152.2333333,0
1,6,436,449,4.066666667,41.48333333,114.5166667,210.05,0
1,6,436,3008,2.35,15.7,105.7333333,246.3666667,0
1,6,436,3310,3.766666667,30.16666667,116.2666667,220.6333333,0
1,24,436,100,2.383333333,54.23333333,194.4333333,1217.75,0
1,24,436,116,0.8,9.3,32.86666667,1425.516667,0
1,24,436,255,14.43333333,86.71666667,386.9833333,981.3166667,0
1,24,436,449,6.333333333,127.65,299.9,1033.683333,0
1,24,436,3008,27.83333333,205.4,476.6333333,758.85,0
1,24,436,3310,12.81666667,115.6,399.7166667,940.7333333,0
2,24,218,100,8.916666667,40.5,58.55,86.6,0
2,24,218,116,1.833333333,19.96666667,103.2,69.28333333,0
2,24,218,255,0.133333333,4.95,23.9,164.8,0
2,24,218,376,0.75,3.8,42.2,147.3833333,0
2,24,218,436,9.666666667,84.4,68.4,31.8,0
2,24,218,742,1.716666667,11.63333333,75.98333333,104.9333333,1
2,44,218,100,2.666666667,68.4,511.0333333,2092.95,0
2,44,218,116,11.63333333,135.6166667,416.5833333,2110.9,0
2,44,218,255,2.466666667,75.71666667,426.35,2169.183333,1
2,44,218,376,9.083333333,110.85,310.1833333,2245.45,1
2,44,218,436,5.733333333,103.8,629.1,1936.45,1
2,44,218,742,15.16666667,198.2333333,316.7333333,2144.533333,1
3,24,3837,100,2.133333333,13.36666667,159.8333333,1283.033333,0
3,24,3837,116,0.733333333,9.233333333,147.7,1300.2,1
3,24,3837,218,1.533333333,40.61666667,130.0666667,1286,1
3,24,3837,255,2.566666667,99.76666667,187.0666667,1167.783333,1
3,24,3837,436,2.666666667,41.85,177.85,1235.016667,0
4,24,3837,255,5.383333333,45.26666667,150.2333333,1257.333333,0
4,24,3837,376,0.6,7.316666667,48.68333333,1401.866667,0
4,24,3837,436,0.15,1.8,35.5,1421,0
4,24,3837,742,0.35,3.183333333,54.03333333,1400.783333,0
4,24,3837,2372,1.35,3.333333333,27.75,1181.733333,0
4,24,3837,3008,0.083333333,1.933333333,99.31666667,1357.116667,0
4,48,3837,255,6.15,58.31666667,161.4833333,2691.45,1
4,48,3837,376,2.2,14.6,221.8666667,2678.933333,1
4,48,3837,436,158.2666667,378.3,394.9166667,1985.616667,1
4,48,3837,742,10.73333333,73.06666667,130.6333333,2703.05,1
4,48,3837,3008,32.6,88.53333333,250.4,2545.983333,0
5,24,3837,255,2.133333333,49.46666667,360.4666667,1029.966667,1
5,24,3837,376,5.166666667,68.81666667,403.55,966.35,0
5,24,3837,436,3.8,34.61666667,507.1166667,897.6166667,0
5,24,3837,742,26.48333333,184.5833333,462.7,769.3833333,0
5,24,3837,2372,0.383333333,21.88333333,321.4333333,1099.683333,0
5,24,3837,3008,5.183333333,53.86666667,256.3333333,1127.8,0
5,48,3837,218,4.45,73.88333333,471.1,2143.383333,1
5,48,3837,376,138.9333333,485.05,576.4166667,1697.216667,0
5,48,3837,436,0.983333333,7.8,153.55,2734.583333,1
5,48,3837,742,0.733333333,15.31666667,219.1666667,2661.816667,0
5,48,3837,2372,3,21.25,197.5666667,2675.85,0
5,48,3837,3008,1.016666667,26.23333333,333.5833333,2536.8,1
