experiment,contact_duration,cap_ID,Full_envelopes_time,Cumulative_time,infected,ratio
1,1,100,36,36.87,0,0.97640358
1,1,116,53,48.7,0,1.088295688
1,1,255,55,54.3,0,1.012891344
1,1,449,55,53.68,0,1.024590164
1,1,3008,7,10.92,0,0.641025641
1,1,3310,52,48.18,0,1.079286011
1,6,100,143,158.18,0,0.90403338
1,6,116,175,173.52,0,1.008529276
1,6,255,205,217.65,0,0.941879164
1,6,449,150,160.07,0,0.937090023
1,6,3008,117,123.78,0,0.9452254
1,6,3310,140,150.2,0,0.932090546
1,24,100,209,251.05,0,0.832503485
1,24,116,38,42.97,0,0.88433791
1,24,255,465,488.15,0,0.952576052
1,24,449,409,433.88,0,0.942656956
1,24,3008,712,709.88,0,1.00298642
1,24,3310,516,528.13,0,0.97703217
2,24,100,104,107.97,0,0.963230527
2,24,116,132,125,0,1.056
2,24,255,21,28.98,0,0.724637681
2,24,376,40,46.75,0,0.855614973
2,24,436,163,162.47,0,1.003262141
2,24,742,83,89.33,1,0.929139147
2,44,100,550,582.12,0,0.944822373
2,44,116,532,563.83,0,0.943546814
2,44,255,488,504.53,1,0.967236834
2,44,376,423,430.12,1,0.98344648
2,44,436,718,738.63,1,0.972069913
2,44,742,527,530.13,1,0.994095788
3,24,100,160,175.33,0,0.912564878
3,24,116,132,157.67,1,0.837191603
3,24,218,173,172.22,1,1.004529091
3,24,255,279,289.4,1,0.96406358
3,24,436,209,222.37,0,0.939874983
4,24,255,197,200.88,0,0.980684986
4,24,376,38,56.6,0,0.671378092
4,24,436,27,37.45,0,0.720961282
4,24,742,37,57.57,0,0.642695849
4,24,2372,19,32.43,0,0.585877274
4,24,3008,83,101.33,0,0.819105892
4,48,255,199,225.95,1,0.880725824
4,48,376,217,238.67,1,0.909205179
4,48,436,942,931.75,1,1.011000805
4,48,742,200,214.43,1,0.932705312
4,48,3008,362,371.62,0,0.974113342
5,24,255,375,412.07,1,0.910039556
5,24,376,456,477.55,0,0.954873835
5,24,436,496,545.53,0,0.90920756
5,24,742,655,673.77,0,0.972141829
5,24,2372,335,343.7,0,0.974687227
5,24,3008,291,315.38,0,0.92269643
5,48,218,481,549.43,1,0.875452742
5,48,376,1172,1200.4,0,0.97634122
5,48,436,108,162.33,1,0.665311403
5,48,742,180,235.22,0,0.765241051
5,48,2372,191,221.82,0,0.861058516
5,48,3008,316,360.83,1,0.875758668
6,8,100,287,289.25,0,0.992221262
6,8,218,124,132.25,0,0.937618147
6,8,255,62,77.6,0,0.798969072
6,8,436,175,183.35,0,0.954458686
6,8,742,318,327.73,0,0.970310927
6,8,3008,135,151.95,0,0.888450148
