,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p0,0.002,0.0005,0.0011,0.003,0.0,0.0,60750.1213,54918.7047,1.0002
lambda,0.3698,0.0371,0.301,0.4454,0.0002,0.0001,60735.8119,59640.8184,1.0001
p_list[0],0.0436,0.0105,0.0241,0.0645,0.0,0.0,63754.282,55630.6356,1.0001
p_list[1],0.0665,0.0158,0.0371,0.098,0.0001,0.0,63458.323,55409.8012,1.0001
p_list[2],0.0713,0.0169,0.0399,0.105,0.0001,0.0,63254.6267,55264.0772,1.0001
p_list[3],0.0771,0.0182,0.0429,0.1131,0.0001,0.0001,62714.1585,54935.6907,1.0001
p_list[4],0.0074,0.0018,0.004,0.011,0.0,0.0,64804.3459,55934.0882,1.0001
p_list[5],0.0647,0.0154,0.0362,0.0955,0.0001,0.0,63515.5084,55461.636,1.0001
p_list[6],0.1576,0.0354,0.0915,0.2286,0.0001,0.0001,63971.4631,55656.4664,1.0001
p_list[7],0.1991,0.0435,0.1158,0.2844,0.0002,0.0001,63575.1309,55487.4805,1.0001
p_list[8],0.215,0.0465,0.1272,0.3075,0.0002,0.0001,64053.2175,55787.1721,1.0001
p_list[9],0.1706,0.038,0.0984,0.2455,0.0001,0.0001,63694.1221,55604.6927,1.0001
p_list[10],0.1233,0.0283,0.0691,0.1786,0.0001,0.0001,64383.7462,55891.5839,1.0001
p_list[11],0.1568,0.0352,0.0908,0.2271,0.0001,0.0001,63860.8641,55774.4538,1.0001
p_list[12],0.2285,0.0489,0.1351,0.325,0.0002,0.0001,63719.367,55591.5797,1.0001
p_list[13],0.0443,0.0106,0.0239,0.0649,0.0,0.0,64005.2898,55695.6194,1.0001
p_list[14],0.4243,0.0774,0.2744,0.5756,0.0003,0.0002,63926.6003,55787.3622,1.0001
p_list[15],0.398,0.0744,0.2551,0.5448,0.0003,0.0002,63660.7611,55578.4061,1.0001
p_list[16],0.5858,0.0886,0.4123,0.756,0.0004,0.0002,63614.3074,55474.4015,1.0001
p_list[17],0.4654,0.0814,0.3073,0.6242,0.0003,0.0002,63783.2565,55669.6941,1.0001
p_list[18],0.1292,0.0295,0.0735,0.1877,0.0001,0.0001,63282.9476,55280.8569,1.0001
p_list[19],0.1432,0.0325,0.082,0.2078,0.0001,0.0001,64121.5777,55734.7291,1.0001
p_list[20],0.0238,0.0058,0.0128,0.0351,0.0,0.0,64275.8823,55852.4577,1.0001
p_list[21],0.0437,0.0105,0.024,0.0646,0.0,0.0,64437.7289,55825.6561,1.0001
p_list[22],0.2027,0.0442,0.1191,0.2905,0.0002,0.0001,63023.293,55251.3507,1.0001
p_list[23],0.0914,0.0214,0.0506,0.1332,0.0001,0.0001,64230.7295,55891.9509,1.0001
p_list[24],0.4695,0.0818,0.3129,0.6312,0.0003,0.0002,64126.0424,55734.7784,1.0001
p_list[25],0.4837,0.0829,0.3226,0.6454,0.0003,0.0002,63631.3862,55500.3244,1.0001
p_list[26],0.4448,0.0795,0.2914,0.6008,0.0003,0.0002,63846.1275,55682.8869,1.0001
p_list[27],0.4086,0.0756,0.2628,0.5572,0.0003,0.0002,63650.4418,55578.4211,1.0001
p_list[28],0.5693,0.0881,0.3965,0.7385,0.0003,0.0002,63967.7516,55734.8278,1.0001
p_list[29],0.4942,0.0838,0.3327,0.6587,0.0003,0.0002,63365.5621,55268.0795,1.0002
p_list[30],0.1665,0.0372,0.0964,0.2406,0.0001,0.0001,64298.3984,55878.6904,1.0001
p_list[31],0.1365,0.0311,0.0769,0.1972,0.0001,0.0001,64459.6585,55904.4628,1.0001
